Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,164.60000610351562,167.83999633789062,160.75999450683594,162.22000122070312,158.4916534423828,4659900
2021-01-05,161.6999969482422,163.52999877929688,161.27999877929688,163.41000366210938,159.654296875,4734100
2021-01-06,162.3000030517578,167.4499969482422,162.07000732421875,164.22000122070312,160.4456787109375,5254400
2021-01-07,165.3300018310547,168.6999969482422,164.82000732421875,167.94000244140625,164.08018493652344,5673600
2021-01-08,171.1199951171875,172.75,168.86000061035156,171.16000366210938,167.22618103027344,4556500
2021-01-11,170.24000549316406,172.0399932861328,169.13999938964844,171.30999755859375,167.3727264404297,4553100
2021-01-12,171.2899932861328,173.66000366210938,170.97000122070312,172.3000030517578,168.33998107910156,3406600
2021-01-13,172.2899932861328,172.85000610351562,170.8699951171875,171.41000366210938,167.47042846679688,2953900
2021-01-14,171.10000610351562,172.5399932861328,170.35000610351562,171.7100067138672,167.76353454589844,3416300
2021-01-15,170.97999572753906,171.08999633789062,167.57000732421875,169.19000244140625,165.3014373779297,3734600
2021-01-19,171.19000244140625,174.6999969482422,171.19000244140625,174.19000244140625,170.18653869628906,6277800
2021-01-20,174.83999633789062,175.17999267578125,172.7899932861328,173.3300018310547,169.3463134765625,4329500
2021-01-21,174.4199981689453,175.47000122070312,172.11000061035156,175.10000610351562,171.0756378173828,3583900
2021-01-22,174.49000549316406,175.4499969482422,172.75,172.80999755859375,168.8382568359375,3736800
2021-01-25,173.3699951171875,174.57000732421875,170.67999267578125,172.9199981689453,168.9457244873047,5401900
2021-01-26,172.07000732421875,174.27999877929688,171.3000030517578,171.47000122070312,167.529052734375,5341900
2021-01-27,166.4499969482422,167.6199951171875,162.0399932861328,162.92999267578125,159.18533325195312,10011200
2021-01-28,167.8800048828125,171.10000610351562,165.13999938964844,169.22999572753906,165.34054565429688,6796600
2021-01-29,166.64999389648438,168.0,164.02000427246094,165.69000244140625,162.863525390625,5969800
2021-02-01,167.36000061035156,173.0,167.02000427246094,172.4600067138672,169.51803588867188,5715600
2021-02-02,173.0500030517578,175.6999969482422,172.00999450683594,174.75,171.76895141601562,4861200
2021-02-03,174.77999877929688,175.25999450683594,168.5,168.5800018310547,165.7042236328125,5019200
2021-02-04,169.9600067138672,172.1199951171875,168.05999755859375,172.0,169.0658721923828,3519800
2021-02-05,172.8000030517578,173.17999267578125,168.05999755859375,169.92999267578125,167.0311737060547,4045000
2021-02-08,171.33999633789062,175.38999938964844,170.83999633789062,175.1199951171875,172.13265991210938,4597600
2021-02-09,174.5,175.22000122070312,173.3300018310547,173.69000244140625,170.72705078125,2777700
2021-02-10,175.1999969482422,176.13999938964844,172.6199951171875,174.36000061035156,171.3856201171875,3414600
2021-02-11,176.0,179.64999389648438,175.44000244140625,179.22000122070312,176.1627197265625,4776000
2021-02-12,178.0,179.89999389648438,177.3300018310547,179.63999938964844,176.57554626464844,2532500
2021-02-16,180.0,181.8000030517578,178.83999633789062,180.75999450683594,177.6764373779297,3887600
2021-02-17,178.32000732421875,180.2100067138672,176.36000061035156,178.52999877929688,175.48448181152344,4315100
2021-02-18,177.42999267578125,177.52000427246094,174.1999969482422,176.50999450683594,173.49893188476562,4195100
2021-02-19,177.86000061035156,179.57000732421875,176.63999938964844,178.35000610351562,175.30755615234375,4248500
2021-02-22,176.0,176.9199981689453,172.67999267578125,173.08999633789062,170.1372833251953,4386900
2021-02-23,174.1699981689453,174.44000244140625,168.50999450683594,172.85000610351562,169.90138244628906,6514400
2021-02-24,171.6300048828125,179.77000427246094,170.57000732421875,179.38999938964844,176.32980346679688,5100500
2021-02-25,178.5,178.5,170.05999755859375,170.52999877929688,167.62095642089844,6099600
2021-02-26,173.27999877929688,173.85000610351562,169.1300048828125,172.27000427246094,169.33128356933594,6060600
2021-03-01,174.5,177.86000061035156,173.08999633789062,177.6699981689453,174.63914489746094,4771500
2021-03-02,177.57000732421875,177.66000366210938,174.14999389648438,174.88999938964844,171.90658569335938,5401500
2021-03-03,174.08999633789062,175.6199951171875,170.36000061035156,170.58999633789062,167.679931640625,4715900
2021-03-04,170.5,170.85000610351562,161.6699981689453,163.25,160.4651336669922,8318900
2021-03-05,167.5399932861328,168.8300018310547,162.02999877929688,167.94000244140625,165.07513427734375,5681200
2021-03-08,166.38999938964844,168.27000427246094,161.77000427246094,162.11000061035156,159.34458923339844,6065400
2021-03-09,167.1699981689453,171.85000610351562,166.2899932861328,170.36000061035156,167.453857421875,7610300
2021-03-10,171.64999389648438,173.0,169.30999755859375,169.4199981689453,166.52989196777344,4270500
2021-03-11,172.50999450683594,175.60000610351562,172.47000122070312,174.9499969482422,171.96556091308594,5002700
2021-03-12,173.02000427246094,174.10000610351562,170.75,173.57000732421875,170.60910034179688,3514600
2021-03-15,173.47000122070312,175.08999633789062,171.75999450683594,174.91000366210938,171.92623901367188,3876500
2021-03-16,176.25,178.80999755859375,175.8300018310547,177.13999938964844,174.11819458007812,4132600
2021-03-17,175.44000244140625,180.17999267578125,174.4199981689453,179.35000610351562,176.29049682617188,4004800
